SPECIES,HUC12,FREQUENCY,Habitat_Miles
Brook trout,170102130301,7,16
Brook trout,170102130302,3,5
Brook trout,170102130303,7,13
Brook trout,170102130304,3,6
Brook trout,170102130305,5,7
Brook trout,170102130404,5,7
Brook trout,170102130405,2,1
Brook trout,170102130406,9,11
Brook trout,170102130407,2,7
Brook trout,170102130503,4,6
Brook trout,170102130506,2,14
Brook trout,170102130507,1,11
Brook trout,170102130508,2,1
Brook trout,170102130509,5,5
Brook trout,170102130510,4,14
Brook trout,170102130512,3,8
Brook trout,170102130513,3,11
Brook trout,170102130514,2,0
Brook trout,170102130601,1,0
Brook trout,170102130602,11,10
Brook trout,170102130604,2,7
Brook trout,170102130605,9,12
Brook trout,170102130606,5,1
Brook trout,170102130607,8,10
Brook trout,170102130702,4,8
Brook trout,170102130703,5,3
Brook trout,170102130704,7,15
Brook trout,170102130801,6,11
Brook trout,170102130802,5,6
Brook trout,170102130803,13,7
Brook trout,170102130901,11,9
Brook trout,170102130902,2,0
Brook trout,170102130903,4,1
Brook trout,170102130904,5,7
Brook trout,170102131001,3,6
Brook trout,170102131002,6,6
Brook trout,170102131004,11,6
Brook trout,170102131005,9,10
Brook trout,170102131006,5,3
Brook trout,170102131101,18,11
Brook trout,170102131102,15,16
Brook trout,170102131103,8,6
Brook trout,170102131104,6,9
Brook trout,170102131301,5,8
Brook trout,170102131302,8,5
Brook trout,170102131303,4,0
Brook trout,170102131304,2,3
Brook trout,170102131305,8,11
Brook trout,170102131306,2,0
Brook trout,170102131307,1,1
Brown trout,170101011603,1,2
Brown trout,170101011604,1,0
Brown trout,170101011605,11,11
Brown trout,170101011707,9,15
Brown trout,170101020401,2,1
Brown trout,170101040203,4,6
Brown trout,170102010207,6,11
Brown trout,170102010208,6,10
Brown trout,170102010304,4,9
Brown trout,170102010305,7,5
Brown trout,170102010401,6,15
Brown trout,170102010402,6,13
Brown trout,170102010403,8,9
Brown trout,170102010406,5,13
Brown trout,170102010407,5,10
Brown trout,170102010501,3,4
Brown trout,170102010502,5,12
Brown trout,170102010503,2,2
Brown trout,170102010505,6,13
Brown trout,170102010506,5,5
Brown trout,170102010507,14,11
Brown trout,170102010601,2,2
Brown trout,170102010602,5,9
Brown trout,170102010603,4,9
Brown trout,170102010604,4,5
Brown trout,170102010605,1,0
Brown trout,170102010608,6,5
Brown trout,170102010611,4,17
Brown trout,170102010701,5,8
Brown trout,170102010702,2,4
Brown trout,170102010703,1,7
Brown trout,170102010704,3,3
Brown trout,170102010705,1,1
Brown trout,170102010706,3,3
Brown trout,170102010707,6,10
Brown trout,170102010708,3,7
Brown trout,170102010801,6,10
Brown trout,170102010802,1,0
Brown trout,170102010803,5,6
Brown trout,170102010804,1,1
Brown trout,170102010806,3,12
Brown trout,170102010807,4,13
Brown trout,170102010808,2,1
Brown trout,170102010809,2,6
Brown trout,170102010810,6,9
Brown trout,170102020103,2,0
Brown trout,170102020104,3,12
Brown trout,170102020105,6,8
Brown trout,170102020201,5,10
Brown trout,170102020202,6,9
Brown trout,170102020204,4,11
Brown trout,170102020303,5,7
Brown trout,170102020405,2,9
Brown trout,170102020502,4,6
Brown trout,170102020503,2,2
Brown trout,170102020504,1,7
Brown trout,170102020505,1,1
Brown trout,170102020506,3,4
Brown trout,170102020602,2,6
Brown trout,170102020605,3,8
Brown trout,170102020611,1,0
Brown trout,170102020613,2,10
Brown trout,170102020701,1,0
Brown trout,170102020702,1,2
Brown trout,170102020703,6,9
Brown trout,170102020804,4,4
Brown trout,170102020805,8,12
Brown trout,170102020901,3,7
Brown trout,170102020902,7,6
Brown trout,170102020903,10,9
Brown trout,170102021004,10,7
Brown trout,170102021102,4,2
Brown trout,170102021103,3,10
